unit_id,pd_id,m,b,R,hauteur,wavelenght,location
1,1,0.001406191426,-0.156002789747,0.99954,325.00,700,S
1,4,0.002135365089,-0.165220650244,0.99743,325.00,400,S
1,2,0.001081947200,-0.131643618077,0.99826,485.00,700,S
1,3,0.001112159658,-0.095747269355,0.99976,485.00,400,S
2,1,0.001469681542,-0.227553979114,0.99989,850.00,700,S
2,4,0.002064534219,-0.245523272231,0.99970,850.00,400,S
2,2,0.001222756795,-0.159193894515,0.99746,650.00,700,S
2,3,0.001163022163,-0.116209104307,0.99832,650.00,400,S
3,1,0.002743651275,-0.413940848300,0.99997,"1000.00",700,S
3,4,0.004426613938,-0.377567040678,0.99864,"1000.00",400,S
3,2,0.004033616918,-0.492592017776,0.99995,"1200.00",700,S
3,3,0.004448491713,-0.458005821335,0.99906,"1200.00",400,S
4,1,0.013476754400,-1.588506953734,0.99895,"1375.00",700,S
4,4,0.003606027514,-0.313831925543,0.96700,"1375.00",400,S
4,2,0.002925838831,-0.313276150585,0.99986,"1550.00",700,S
4,3,0.002401968350,-0.252452950814,0.99248,"1550.00",400,S
5,1,0.003428180640,-0.379854145265,0.99977,325.00,700,F
5,4,0.003997774802,-0.408611159264,0.98983,325.00,400,F
5,2,0.001604279421,-0.176609304242,0.99902,485.00,700,F
5,3,0.001639289611,-0.158433010068,0.99987,485.00,400,F
6,1,0.004560809539,-0.640087362867,0.99298,"1000.00",700,F
6,4,0.002726909483,-0.221997729661,0.98848,"1000.00",400,F
6,2,0.002096933718,-0.264321973014,0.99941,"1200.00",700,F
6,3,0.001908715983,-0.197267349557,0.98525,"1200.00",400,F
7,1,0.000912931651,-0.147561193934,0.99971,650.00,700,F
7,4,0.000781558628,-0.089332777999,0.99852,650.00,400,F
7,2,0.001504770132,-0.204728442902,0.99942,850.00,700,F
7,3,0.002144587665,-0.163162260115,0.98811,850.00,400,F
8,1,0.003348212765,-0.466961963039,0.99886,"1550.00",700,F
8,4,0.001981298962,-0.203722894803,0.99015,"1550.00",400,F
8,2,0.003001572084,-0.453893291304,0.99985,"1375.00",700,F
8,3,0.002109138684,-0.246984629985,0.99185,"1375.00",400,F